areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Northern Ireland,N92000002,2022-10-14,1,4901
nation,Northern Ireland,N92000002,2022-10-13,3,4900
nation,Northern Ireland,N92000002,2022-10-12,0,4897
nation,Northern Ireland,N92000002,2022-10-11,0,4897
nation,Northern Ireland,N92000002,2022-10-10,2,4897
nation,Northern Ireland,N92000002,2022-10-09,5,4895
nation,Northern Ireland,N92000002,2022-10-08,0,4890
nation,Northern Ireland,N92000002,2022-10-07,1,4890
nation,Northern Ireland,N92000002,2022-10-06,0,4889
nation,Northern Ireland,N92000002,2022-10-05,1,4889
nation,Northern Ireland,N92000002,2022-10-04,1,4888
nation,Northern Ireland,N92000002,2022-10-03,2,4887
nation,Northern Ireland,N92000002,2022-10-02,1,4885
nation,Northern Ireland,N92000002,2022-10-01,3,4884
nation,Northern Ireland,N92000002,2022-09-30,4,4881
nation,Northern Ireland,N92000002,2022-09-29,3,4877
nation,Northern Ireland,N92000002,2022-09-28,2,4874
nation,Northern Ireland,N92000002,2022-09-27,2,4872
nation,Northern Ireland,N92000002,2022-09-26,2,4870
nation,Northern Ireland,N92000002,2022-09-25,1,4868
nation,Northern Ireland,N92000002,2022-09-24,0,4867
nation,Northern Ireland,N92000002,2022-09-23,0,4867
nation,Northern Ireland,N92000002,2022-09-22,2,4867
nation,Northern Ireland,N92000002,2022-09-21,0,4865
nation,Northern Ireland,N92000002,2022-09-20,2,4865
nation,Northern Ireland,N92000002,2022-09-19,0,4863
nation,Northern Ireland,N92000002,2022-09-18,0,4863
nation,Northern Ireland,N92000002,2022-09-17,2,4863
nation,Northern Ireland,N92000002,2022-09-16,0,4861
nation,Northern Ireland,N92000002,2022-09-15,2,4861
nation,Northern Ireland,N92000002,2022-09-14,1,4859
nation,Northern Ireland,N92000002,2022-09-13,0,4858
nation,Northern Ireland,N92000002,2022-09-12,0,4858
nation,Northern Ireland,N92000002,2022-09-11,0,4858
nation,Northern Ireland,N92000002,2022-09-10,1,4858
nation,Northern Ireland,N92000002,2022-09-09,2,4857
nation,Northern Ireland,N92000002,2022-09-08,2,4855
nation,Northern Ireland,N92000002,2022-09-07,3,4853
nation,Northern Ireland,N92000002,2022-09-06,2,4850
nation,Northern Ireland,N92000002,2022-09-05,0,4848
nation,Northern Ireland,N92000002,2022-09-04,1,4848
nation,Northern Ireland,N92000002,2022-09-03,2,4847
nation,Northern Ireland,N92000002,2022-09-02,0,4845
nation,Northern Ireland,N92000002,2022-09-01,0,4845
nation,Northern Ireland,N92000002,2022-08-31,3,4845
nation,Northern Ireland,N92000002,2022-08-30,1,4842
nation,Northern Ireland,N92000002,2022-08-29,2,4841
nation,Northern Ireland,N92000002,2022-08-28,0,4839
nation,Northern Ireland,N92000002,2022-08-27,0,4839
nation,Northern Ireland,N92000002,2022-08-26,2,4839
nation,Northern Ireland,N92000002,2022-08-25,1,4837
nation,Northern Ireland,N92000002,2022-08-24,0,4836
nation,Northern Ireland,N92000002,2022-08-23,4,4836
nation,Northern Ireland,N92000002,2022-08-22,2,4832
nation,Northern Ireland,N92000002,2022-08-21,1,4830
nation,Northern Ireland,N92000002,2022-08-20,1,4829
nation,Northern Ireland,N92000002,2022-08-19,0,4828
nation,Northern Ireland,N92000002,2022-08-18,1,4828
nation,Northern Ireland,N92000002,2022-08-17,0,4827
nation,Northern Ireland,N92000002,2022-08-16,0,4827
nation,Northern Ireland,N92000002,2022-08-15,1,4827
