areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Scotland,S92000003,2022-08-16,4,15578
nation,Scotland,S92000003,2022-08-15,10,15574
nation,Scotland,S92000003,2022-08-14,12,15564
nation,Scotland,S92000003,2022-08-13,3,15552
nation,Scotland,S92000003,2022-08-12,7,15549
nation,Scotland,S92000003,2022-08-11,10,15542
nation,Scotland,S92000003,2022-08-10,4,15532
nation,Scotland,S92000003,2022-08-09,10,15528
nation,Scotland,S92000003,2022-08-08,15,15518
nation,Scotland,S92000003,2022-08-07,8,15503
nation,Scotland,S92000003,2022-08-06,7,15495
nation,Scotland,S92000003,2022-08-05,10,15488
nation,Scotland,S92000003,2022-08-04,9,15478
nation,Scotland,S92000003,2022-08-03,7,15469
nation,Scotland,S92000003,2022-08-02,11,15462
nation,Scotland,S92000003,2022-08-01,7,15451
nation,Scotland,S92000003,2022-07-31,13,15444
nation,Scotland,S92000003,2022-07-30,8,15431
nation,Scotland,S92000003,2022-07-29,7,15423
nation,Scotland,S92000003,2022-07-28,12,15416
nation,Scotland,S92000003,2022-07-27,7,15404
nation,Scotland,S92000003,2022-07-26,15,15397
nation,Scotland,S92000003,2022-07-25,10,15382
nation,Scotland,S92000003,2022-07-24,14,15372
nation,Scotland,S92000003,2022-07-23,15,15358
nation,Scotland,S92000003,2022-07-22,14,15343
nation,Scotland,S92000003,2022-07-21,16,15329
nation,Scotland,S92000003,2022-07-20,11,15313
nation,Scotland,S92000003,2022-07-19,10,15302
nation,Scotland,S92000003,2022-07-18,12,15292
nation,Scotland,S92000003,2022-07-17,15,15280
nation,Scotland,S92000003,2022-07-16,12,15265
nation,Scotland,S92000003,2022-07-15,7,15253
nation,Scotland,S92000003,2022-07-14,10,15246
nation,Scotland,S92000003,2022-07-13,15,15236
nation,Scotland,S92000003,2022-07-12,13,15221
nation,Scotland,S92000003,2022-07-11,16,15208
nation,Scotland,S92000003,2022-07-10,15,15192
nation,Scotland,S92000003,2022-07-09,10,15177
nation,Scotland,S92000003,2022-07-08,15,15167
nation,Scotland,S92000003,2022-07-07,10,15152
nation,Scotland,S92000003,2022-07-06,16,15142
nation,Scotland,S92000003,2022-07-05,12,15126
nation,Scotland,S92000003,2022-07-04,13,15114
nation,Scotland,S92000003,2022-07-03,8,15101
nation,Scotland,S92000003,2022-07-02,16,15093
nation,Scotland,S92000003,2022-07-01,9,15077
nation,Scotland,S92000003,2022-06-30,15,15068
nation,Scotland,S92000003,2022-06-29,8,15053
nation,Scotland,S92000003,2022-06-28,18,15045
nation,Scotland,S92000003,2022-06-27,12,15027
nation,Scotland,S92000003,2022-06-26,7,15015
nation,Scotland,S92000003,2022-06-25,8,15008
nation,Scotland,S92000003,2022-06-24,6,15000
nation,Scotland,S92000003,2022-06-23,11,14994
nation,Scotland,S92000003,2022-06-22,11,14983
nation,Scotland,S92000003,2022-06-21,15,14972
nation,Scotland,S92000003,2022-06-20,4,14957
nation,Scotland,S92000003,2022-06-19,9,14953
nation,Scotland,S92000003,2022-06-18,5,14944
nation,Scotland,S92000003,2022-06-17,5,14939
nation,Scotland,S92000003,2022-06-16,8,14934
nation,Scotland,S92000003,2022-06-15,6,14926
nation,Scotland,S92000003,2022-06-14,6,14920
nation,Scotland,S92000003,2022-06-13,8,14914
nation,Scotland,S92000003,2022-06-12,7,14906
nation,Scotland,S92000003,2022-06-11,4,14899
nation,Scotland,S92000003,2022-06-10,10,14895
nation,Scotland,S92000003,2022-06-09,5,14885
nation,Scotland,S92000003,2022-06-08,9,14880
nation,Scotland,S92000003,2022-06-07,4,14871
nation,Scotland,S92000003,2022-06-06,2,14867
nation,Scotland,S92000003,2022-06-05,4,14865
nation,Scotland,S92000003,2022-06-04,5,14861
nation,Scotland,S92000003,2022-06-03,3,14856
nation,Scotland,S92000003,2022-06-02,8,14853
nation,Scotland,S92000003,2022-06-01,0,14845
nation,Scotland,S92000003,2022-05-31,5,14845
